"Total population (Both sexes)【person】"
"Time","Japan","Hokkaido","Aomori-ken","Iwate-ken","Miyagi-ken","Akita-ken","Yamagata-ken","Fukushima-ken","Ibaraki-ken","Tochigi-ken","Gumma-ken","Saitama-ken","Chiba-ken","Tokyo-to","Kanagawa-ken","Niigata-ken","Toyama-ken","Ishikawa-ken","Fukui-ken","Yamanashi-ken","Nagano-ken","Gifu-ken","Shizuoka-ken","Aichi-ken","Mie-ken","Shiga-ken","Kyoto-fu","Osaka-fu","Hyogo-ken","Nara-ken","Wakayama-ken","Tottori-ken","Shimane-ken","Okayama-ken","Hiroshima-ken","Yamaguchi-ken","Tokushima-ken","Kagawa-ken","Ehime-ken","Kochi-ken","Fukuoka-ken","Saga-ken","Nagasaki-ken","Kumamoto-ken","Oita-ken","Miyazaki-ken","Kagoshima-ken","Okinawa-ken"
"2012","127593000","5465000","1350000","1306000","2329000","1063000","1153000","1957000","2947000","1992000","1994000","7216000","6200000","13234000","9070000","2350000","1083000","1164000","800000","852000","2132000","2062000","3739000","7431000","1841000","1414000","2628000","8861000","5575000","1388000","988000","583000","708000","1937000","2855000","1434000","775000","989000","1415000","751000","5089000","845000","1408000","1807000","1186000","1125000","1687000","1411000"
"2013","127414000","5438000","1337000","1299000","2333000","1050000","1144000","1940000","2937000","1986000","1986000","7228000","6201000","13307000","9084000","2336000","1077000","1160000","796000","847000","2122000","2053000","3730000","7449000","1833000","1415000","2622000","8856000","5565000","1381000","980000","580000","704000","1932000","2850000","1425000","769000","985000","1406000","743000","5096000","841000","1397000","1801000","1180000","1119000","1675000","1419000"
"2014","127237000","5410000","1323000","1290000","2335000","1037000","1134000","1927000","2927000","1980000","1979000","7247000","6209000","13399000","9103000","2320000","1072000","1157000","791000","841000","2110000","2043000","3715000","7464000","1826000","1414000","2616000","8845000","5550000","1373000","972000","577000","699000","1926000","2846000","1415000","763000","980000","1396000","736000","5099000","837000","1387000","1795000","1173000","1112000","1662000","1426000"
"2015","127094745","5381733","1308265","1279594","2333899","1023119","1123891","1914039","2916976","1974255","1973115","7266534","6222666","13515271","9126214","2304264","1066328","1154008","786740","834930","2098804","2031903","3700305","7483128","1815865","1412916","2610353","8839469","5534800","1364316","963579","573441","694352","1921525","2843990","1404729","755733","976263","1385262","728276","5101556","832832","1377187","1786170","1166338","1104069","1648177","1433566"
"2016","127042000","5355000","1295000","1268000","2332000","1011000","1114000","1903000","2910000","1969000","1969000","7288000","6242000","13646000","9152000","2286000","1061000","1151000","783000","831000","2091000","2024000","3690000","7509000","1809000","1414000","2608000","8841000","5526000","1357000","956000","570000","691000","1917000","2840000","1394000","750000","973000","1377000","721000","5113000","829000","1367000","1775000","1160000","1097000","1637000","1442000"
"2017","126919000","5325000","1282000","1254000","2326000","999000","1103000","1886000","2902000","1962000","1963000","7307000","6258000","13768000","9173000","2267000","1056000","1148000","780000","826000","2082000","2012000","3681000","7528000","1801000","1414000","2604000","8841000","5515000","1349000","948000","566000","687000","1911000","2833000","1382000","744000","968000","1368000","714000","5123000","825000","1355000","1767000","1152000","1091000","1626000","1448000"
"2018","126749000","5293000","1268000","1240000","2320000","985000","1092000","1869000","2892000","1953000","1957000","7325000","6273000","13887000","9197000","2246000","1050000","1145000","777000","821000","2073000","2001000","3667000","7541000","1793000","1414000","2598000","8838000","5501000","1341000","940000","562000","682000","1904000","2824000","1369000","736000","963000","1357000","707000","5131000","821000","1341000","1759000","1143000","1084000","1614000","1454000"
"2019","126555000","5259000","1253000","1226000","2312000","972000","1080000","1852000","2879000","1943000","1949000","7342000","6283000","14007000","9224000","2224000","1043000","1139000","771000","815000","2061000","1992000","3653000","7557000","1783000","1416000","2592000","8842000","5488000","1333000","931000","557000","677000","1897000","2813000","1357000","728000","958000","1346000","699000","5134000","817000","1327000","1749000","1134000","1077000","1602000","1462000"
"2020","126146099","5224614","1237984","1210534","2301996","959502","1068027","1833152","2867009","1933146","1939110","7344765","6284480","14047594","9237337","2201272","1034814","1132526","766863","809974","2048011","1978742","3633202","7542415","1770254","1413610","2578087","8837685","5465002","1324473","922584","553407","671126","1888432","2799702","1342059","719559","950244","1334841","691527","5135214","811442","1312317","1738301","1123852","1069576","1588256","1467480"
"2021","125502000","5183000","1221000","1196000","2290000","945000","1055000","1812000","2852000","1921000","1927000","7340000","6275000","14010000","9236000","2177000","1025000","1125000","760000","805000","2033000","1961000","3608000","7517000","1756000","1411000","2561000","8806000","5432000","1315000","914000","549000","665000","1876000","2780000","1328000","712000","942000","1321000","684000","5124000","806000","1297000","1728000","1114000","1061000","1576000","1468000"
"2022","124947000","5140000","1204000","1181000","2280000","930000","1041000","1790000","2840000","1909000","1913000","7337000","6266000","14038000","9232000","2153000","1017000","1118000","753000","802000","2020000","1946000","3582000","7495000","1742000","1409000","2550000","8782000","5402000","1306000","903000","544000","658000","1862000","2760000","1313000","704000","934000","1306000","676000","5116000","801000","1283000","1718000","1107000","1052000","1563000","1468000"
"2023","124352000","5092000","1184000","1163000","2264000","914000","1026000","1767000","2825000","1897000","1902000","7331000","6257000","14086000","9229000","2126000","1007000","1109000","744000","796000","2004000","1931000","3555000","7477000","1727000","1407000","2535000","8763000","5370000","1296000","892000","537000","650000","1847000","2738000","1298000","695000","926000","1291000","666000","5103000","795000","1267000","1709000","1096000","1042000","1549000","1468000"
"2024","123802000","5043000","1165000","1145000","2248000","897000","1011000","1743000","2806000","1885000","1890000","7332000","6251000","14178000","9225000","2099000","997000","1098000","739000","791000","1987000","1916000","3527000","7460000","1711000","1402000","2520000","8757000","5337000","1285000","880000","531000","642000","1831000","2714000","1281000","685000","917000","1276000","656000","5092000","788000","1252000","1697000","1085000","1033000","1532000","1466000"
