period,period_date,pref_code,prefecture,status_code,residence_status,n_residents,is_unknown_pref
2016-12,2016-12-31,01,北海道,03,教授,304,False
2016-12,2016-12-31,01,北海道,04,芸術,7,False
2016-12,2016-12-31,01,北海道,05,宗教,190,False
2016-12,2016-12-31,01,北海道,07,高度専門職１号イ,19,False
2016-12,2016-12-31,01,北海道,08,高度専門職１号ロ,9,False
2016-12,2016-12-31,01,北海道,09,高度専門職１号ハ,4,False
2016-12,2016-12-31,01,北海道,11,経営・管理,281,False
2016-12,2016-12-31,01,北海道,13,医療,54,False
2016-12,2016-12-31,01,北海道,14,研究,8,False
2016-12,2016-12-31,01,北海道,15,教育,417,False
2016-12,2016-12-31,01,北海道,16,技術・人文知識・国際業務,1815,False
2016-12,2016-12-31,01,北海道,17,企業内転勤,168,False
2016-12,2016-12-31,01,北海道,19,興行,42,False
2016-12,2016-12-31,01,北海道,20,技能,1003,False
2016-12,2016-12-31,01,北海道,23,技能実習１号イ,15,False
2016-12,2016-12-31,01,北海道,24,技能実習１号ロ,3347,False
2016-12,2016-12-31,01,北海道,25,技能実習２号イ,13,False
2016-12,2016-12-31,01,北海道,26,技能実習２号ロ,3401,False
2016-12,2016-12-31,01,北海道,29,文化活動,89,False
2016-12,2016-12-31,01,北海道,31,留学,3696,False
2016-12,2016-12-31,01,北海道,32,研修,24,False
2016-12,2016-12-31,01,北海道,33,家族滞在,1783,False
2016-12,2016-12-31,01,北海道,34,特定活動,2008,False
2016-12,2016-12-31,01,北海道,35,永住者,5023,False
2016-12,2016-12-31,01,北海道,36,日本人の配偶者等,1497,False
2016-12,2016-12-31,01,北海道,37,永住者の配偶者等,91,False
2016-12,2016-12-31,01,北海道,38,定住者,330,False
2016-12,2016-12-31,01,北海道,39,特別永住者,3231,False
2016-12,2016-12-31,02,青森県,03,教授,15,False
2016-12,2016-12-31,02,青森県,05,宗教,23,False
2016-12,2016-12-31,02,青森県,07,高度専門職１号イ,2,False
2016-12,2016-12-31,02,青森県,08,高度専門職１号ロ,1,False
2016-12,2016-12-31,02,青森県,11,経営・管理,19,False
2016-12,2016-12-31,02,青森県,13,医療,2,False
2016-12,2016-12-31,02,青森県,14,研究,16,False
2016-12,2016-12-31,02,青森県,15,教育,143,False
2016-12,2016-12-31,02,青森県,16,技術・人文知識・国際業務,151,False
2016-12,2016-12-31,02,青森県,17,企業内転勤,10,False
2016-12,2016-12-31,02,青森県,19,興行,7,False
2016-12,2016-12-31,02,青森県,20,技能,81,False
2016-12,2016-12-31,02,青森県,23,技能実習１号イ,10,False
2016-12,2016-12-31,02,青森県,24,技能実習１号ロ,589,False
2016-12,2016-12-31,02,青森県,25,技能実習２号イ,19,False
2016-12,2016-12-31,02,青森県,26,技能実習２号ロ,653,False
2016-12,2016-12-31,02,青森県,29,文化活動,10,False
2016-12,2016-12-31,02,青森県,31,留学,352,False
2016-12,2016-12-31,02,青森県,32,研修,3,False
2016-12,2016-12-31,02,青森県,33,家族滞在,156,False
2016-12,2016-12-31,02,青森県,34,特定活動,74,False
2016-12,2016-12-31,02,青森県,35,永住者,1111,False
2016-12,2016-12-31,02,青森県,36,日本人の配偶者等,345,False
2016-12,2016-12-31,02,青森県,37,永住者の配偶者等,27,False
2016-12,2016-12-31,02,青森県,38,定住者,129,False
2016-12,2016-12-31,02,青森県,39,特別永住者,620,False
2016-12,2016-12-31,03,岩手県,03,教授,16,False
2016-12,2016-12-31,03,岩手県,04,芸術,1,False
2016-12,2016-12-31,03,岩手県,05,宗教,31,False
2016-12,2016-12-31,03,岩手県,07,高度専門職１号イ,1,False
2016-12,2016-12-31,03,岩手県,08,高度専門職１号ロ,1,False
2016-12,2016-12-31,03,岩手県,09,高度専門職１号ハ,1,False
2016-12,2016-12-31,03,岩手県,11,経営・管理,22,False
2016-12,2016-12-31,03,岩手県,14,研究,1,False
2016-12,2016-12-31,03,岩手県,15,教育,109,False
2016-12,2016-12-31,03,岩手県,16,技術・人文知識・国際業務,156,False
2016-12,2016-12-31,03,岩手県,17,企業内転勤,17,False
2016-12,2016-12-31,03,岩手県,19,興行,4,False
2016-12,2016-12-31,03,岩手県,20,技能,91,False
2016-12,2016-12-31,03,岩手県,23,技能実習１号イ,51,False
2016-12,2016-12-31,03,岩手県,24,技能実習１号ロ,886,False
2016-12,2016-12-31,03,岩手県,25,技能実習２号イ,12,False
2016-12,2016-12-31,03,岩手県,26,技能実習２号ロ,1291,False
2016-12,2016-12-31,03,岩手県,29,文化活動,4,False
2016-12,2016-12-31,03,岩手県,31,留学,318,False
2016-12,2016-12-31,03,岩手県,32,研修,4,False
2016-12,2016-12-31,03,岩手県,33,家族滞在,156,False
2016-12,2016-12-31,03,岩手県,34,特定活動,58,False
2016-12,2016-12-31,03,岩手県,35,永住者,1874,False
2016-12,2016-12-31,03,岩手県,36,日本人の配偶者等,424,False
2016-12,2016-12-31,03,岩手県,37,永住者の配偶者等,19,False
2016-12,2016-12-31,03,岩手県,38,定住者,130,False
2016-12,2016-12-31,03,岩手県,39,特別永住者,597,False
2016-12,2016-12-31,04,宮城県,03,教授,299,False
2016-12,2016-12-31,04,宮城県,05,宗教,170,False
2016-12,2016-12-31,04,宮城県,07,高度専門職１号イ,43,False
2016-12,2016-12-31,04,宮城県,08,高度専門職１号ロ,5,False
2016-12,2016-12-31,04,宮城県,11,経営・管理,106,False
2016-12,2016-12-31,04,宮城県,13,医療,9,False
2016-12,2016-12-31,04,宮城県,14,研究,9,False
2016-12,2016-12-31,04,宮城県,15,教育,223,False
2016-12,2016-12-31,04,宮城県,16,技術・人文知識・国際業務,812,False
2016-12,2016-12-31,04,宮城県,17,企業内転勤,88,False
2016-12,2016-12-31,04,宮城県,19,興行,16,False
