period,period_date,pref_code,prefecture,n_residents
2016-12,2016-12-31,01,北海道,28869
2016-12,2016-12-31,02,青森県,4568
2016-12,2016-12-31,03,岩手県,6275
2016-12,2016-12-31,04,宮城県,19314
2016-12,2016-12-31,05,秋田県,3695
2016-12,2016-12-31,06,山形県,6378
2016-12,2016-12-31,07,福島県,12068
2016-12,2016-12-31,08,茨城県,58182
2016-12,2016-12-31,09,栃木県,36654
2016-12,2016-12-31,10,群馬県,50220
2016-12,2016-12-31,11,埼玉県,152486
2016-12,2016-12-31,12,千葉県,133071
2016-12,2016-12-31,13,東京都,500874
2016-12,2016-12-31,14,神奈川県,191741
2016-12,2016-12-31,15,新潟県,14731
2016-12,2016-12-31,16,富山県,15052
2016-12,2016-12-31,17,石川県,12537
2016-12,2016-12-31,18,福井県,12607
2016-12,2016-12-31,19,山梨県,14920
2016-12,2016-12-31,20,長野県,32483
2016-12,2016-12-31,21,岐阜県,48465
2016-12,2016-12-31,22,静岡県,79836
2016-12,2016-12-31,23,愛知県,224424
2016-12,2016-12-31,24,三重県,44913
2016-12,2016-12-31,25,滋賀県,25838
2016-12,2016-12-31,26,京都府,55111
2016-12,2016-12-31,27,大阪府,217656
2016-12,2016-12-31,28,兵庫県,101562
2016-12,2016-12-31,29,奈良県,11421
2016-12,2016-12-31,30,和歌山県,6233
2016-12,2016-12-31,31,鳥取県,4156
2016-12,2016-12-31,32,島根県,7120
2016-12,2016-12-31,33,岡山県,24146
2016-12,2016-12-31,34,広島県,46047
2016-12,2016-12-31,35,山口県,14743
2016-12,2016-12-31,36,徳島県,5476
2016-12,2016-12-31,37,香川県,10723
2016-12,2016-12-31,38,愛媛県,11020
2016-12,2016-12-31,39,高知県,3997
2016-12,2016-12-31,40,福岡県,64998
2016-12,2016-12-31,41,佐賀県,5203
2016-12,2016-12-31,42,長崎県,11735
2016-12,2016-12-31,43,熊本県,11662
2016-12,2016-12-31,44,大分県,11149
2016-12,2016-12-31,45,宮崎県,5100
2016-12,2016-12-31,46,鹿児島県,7954
2016-12,2016-12-31,47,沖縄県,14285
2017-12,2017-12-31,01,北海道,32408
2017-12,2017-12-31,02,青森県,5121
2017-12,2017-12-31,03,岩手県,6627
2017-12,2017-12-31,04,宮城県,20405
2017-12,2017-12-31,05,秋田県,3793
2017-12,2017-12-31,06,山形県,6723
2017-12,2017-12-31,07,福島県,12977
2017-12,2017-12-31,08,茨城県,63491
2017-12,2017-12-31,09,栃木県,39896
2017-12,2017-12-31,10,群馬県,55137
2017-12,2017-12-31,11,埼玉県,167245
2017-12,2017-12-31,12,千葉県,146318
2017-12,2017-12-31,13,東京都,537502
