year,speakerGroup,count
2015,不明,42
2015,自由民主党,39
2015,日本共産党,20
2015,民主党・無所属クラブ,19
2015,民主党・新緑風会,15
2015,維新の党,10
2015,公明党,6
2015,日本を元気にする会・無所属会,6
2015,生活の党と山本太郎となかまたち,6
2015,民主党・無所属クラブ・国民新党,4
2015,次世代の党,3
2015,社会民主党・護憲連合,2
2015,無所属クラブ,1
2016,不明,324
2016,自由民主党,90
2016,自由民主党・無所属の会,76
2016,民進党・新緑風会,68
2016,日本共産党,66
2016,民進党・無所属クラブ,64
2016,公明党,49
2016,日本維新の会,38
2016,沖縄の風,22
2016,各派に属しない議員,21
2016,民主・維新・無所属クラブ,16
2016,おおさか維新の会,10
2016,希望の会（自由・社民）,7
2016,無所属,4
2016,無所属クラブ,4
2016,日本を元気にする会・無所属会,3
2016,民主党・新緑風会,3
2016,日本のこころ,1
2016,維新・元気の会,1
2017,不明,145
2017,自由民主党・無所属の会,70
2017,日本維新の会,59
2017,民進党・無所属クラブ,54
2017,公明党,23
2017,希望の会（自由・社民）,23
2017,自由民主党・こころ,22
2017,自由民主党,16
2017,日本共産党,15
2017,民進党・新緑風会,14
2017,無所属クラブ,8
2017,各派に属しない議員,7
2017,無所属の会,4
2017,沖縄の風,3
2017,希望の党・無所属クラブ,1
2017,立憲民主党・市民クラブ,1
2018,自由民主党,597
2018,不明,587
2018,日本共産党,190
2018,立憲民主党・市民クラブ,156
2018,立憲民主党・民友会,143
2018,国民民主党・新緑風会,139
2018,国民民主党・無所属クラブ,122
2018,日本維新の会,118
2018,公明党,108
2018,各派に属しない議員,68
2018,自由民主党・国民の声,56
2018,沖縄の風,43
2018,希望の会（自由・社民）,30
2018,無所属の会,29
2018,自由民主党・こころ,23
2018,希望の党・無所属クラブ,14
2018,民進党・新緑風会,13
2018,無所属クラブ,9
2018,希望の党,6
2018,立憲民主党,6
2018,自由党,1
2019,不明,489
2019,自由民主党,285
2019,立憲民主党・無所属フォーラム,136
2019,日本共産党,129
2019,国民民主党・新緑風会,100
2019,国民民主党・無所属クラブ,86
2019,公明党,75
2019,立憲民主党・民友会・希望の会,70
2019,自由民主党・国民の声,67
2019,日本維新の会・希望の党,58
2019,日本維新の会,49
2019,沖縄の風,33
2019,立憲民主・国民・社保・無所属フォーラム,28
2019,自由民主党・無所属の会,25
2019,社会民主党・市民連合,10
2019,社会保障を立て直す国民会議,8
2019,立憲・国民．新緑風会・社民,8
2019,未来日本,2
2019,みんなの党,1
2020,不明,137
2020,自由民主党・無所属の会,82
2020,立憲民主・国民・社保・無所属フォーラム,56
2020,立憲・国民．新緑風会・社民,38
2020,自由民主党・国民の声,36
2020,公明党,22
2020,日本共産党,21
2020,日本維新の会,20
2020,日本維新の会・無所属の会,19
2020,立憲民主党・社民・無所属,17
2020,立憲民主・社民,9
2020,国民民主党・新緑風会,8
2020,みんなの党,4
2020,希望の党,4
2020,国民民主党・無所属クラブ,1
2020,碧水会,1
2021,不明,135
2021,自由民主党・無所属の会,87
2021,立憲民主党・無所属,42
2021,立憲民主・社民,30
2021,国民民主党・新緑風会,22
2021,日本共産党,19
2021,公明党,17
2021,自由民主党・国民の声,16
2021,日本維新の会,8
2021,日本維新の会・無所属の会,8
2021,自由民主党,6
2021,沖縄の風,2
2021,国民民主党・無所属クラブ,1
2021,碧水会,1
2022,不明,157
2022,自由民主党,128
2022,立憲民主党・無所属,57
2022,国民民主党・新緑風会,41
2022,公明党,36
2022,日本維新の会,36
2022,立憲民主・社民,23
2022,沖縄の風,21
2022,日本共産党,14
2022,自由民主党・国民の声,9
2022,有志の会,3
2022,れいわ新選組,1
2022,各派に属しない議員,1
2022,国民民主党・無所属クラブ,1
2022,碧水会,1
2023,不明,289
2023,自由民主党・無所属の会,231
2023,立憲民主党・無所属,114
2023,日本維新の会,101
2023,立憲民主・社民,81
2023,公明党,74
2023,自由民主党,74
2023,日本共産党,44
2023,国民民主党・新緑風会,43
2023,国民民主党・無所属クラブ,31
2023,れいわ新選組,12
2023,有志の会,10
2023,各派に属しない議員,9
2023,政治家女子48党,2
2023,沖縄の風,1
2024,不明,876
2024,自由民主党・無所属の会,636
2024,立憲民主党・無所属,316
2024,日本維新の会・教育無償化を実現する会,269
2024,公明党,228
2024,日本共産党,168
2024,自由民主党,166
2024,立憲民主・社民,146
2024,国民民主党・新緑風会,84
2024,各派に属しない議員,46
2024,有志の会,42
2024,国民民主党・無所属クラブ,35
2024,日本維新の会,22
2024,れいわ新選組,17
2024,ＮＨＫから国民を守る党,7
2024,無所属,6
2024,立憲民主・社民・無所属,6
2024,参政党,2
2024,日本保守党,1
2024,沖縄の風,1
2025,不明,456
2025,自由民主党・無所属の会,384
2025,日本維新の会,243
2025,立憲民主党・無所属,175
2025,公明党,157
2025,自由民主党,128
2025,立憲民主・社民・無所属,101
2025,参政党,78
2025,国民民主党・新緑風会,64
2025,国民民主党・無所属クラブ,51
2025,日本共産党,33
2025,れいわ新選組,28
2025,有志の会,28
2025,日本保守党,20
2025,各派に属しない議員,15
2025,改革の会,6
2025,無所属,3
2025,ＮＨＫから国民を守る党,2
2025,減税保守こども,1
2026,自由民主党・無所属の会,115
2026,不明,101
2026,参政党,66
2026,中道改革連合・無所属,27
2026,日本維新の会,23
2026,国民民主党・無所属クラブ,19
2026,立憲民主・無所属,8
2026,日本保守党,7
2026,日本共産党,7
2026,国民民主党・新緑風会,3
2026,公明党,2
2026,れいわ新選組,1
2026,沖縄の風,1
