"在留外国人数【人】"
"時点","全国","北海道","青森県","岩手県","宮城県","秋田県","山形県","福島県","茨城県","栃木県","群馬県","埼玉県","千葉県","東京都","神奈川県","新潟県","富山県","石川県","福井県","山梨県","長野県","岐阜県","静岡県","愛知県","三重県","滋賀県","京都府","大阪府","兵庫県","奈良県","和歌山県","鳥取県","島根県","岡山県","広島県","山口県","徳島県","香川県","愛媛県","高知県","福岡県","佐賀県","長崎県","熊本県","大分県","宮崎県","鹿児島県","沖縄県"
"2012年","2033656","22027","3930","5372","14214","3702","6214","9259","50562","30087","41181","117845","105523","393585","162142","13134","13646","10839","12202","14388","31788","45878","77353","195970","42879","24809","52096","203288","97164","11137","5791","3947","5486","20968","38545","13495","4981","8277","8905","3380","53356","4360","7289","9110","9908","4125","6317","9404"
"2013年","2066445","22629","3975","5505","15247","3714","6182","9726","51107","30727","42171","123294","108848","407067","165573","13256","13361","10773","11689","13996","31003","45105","75467","197808","42945","24712","52266","203921","96541","11164","5923","3906","5530","20958","38736","13387","5002","8510","8834","3428","56437","4387","7995","9693","9862","4262","6443","10198"
"2014年","2121831","23534","4041","5697","16274","3622","6131","10249","52009","32178","43978","130092","113811","430658","171258","13475","13345","10978","11719","13990","30748","45024","75115","200673","42897","24295","52213","204347","96530","11081","5934","3849","5988","21270","39842","13219","4992","8946","9290","3565","57696","4401","8295","10079","10234","4414","6733","11229"
"2015年","2232189","25692","4245","5902","17708","3616","6160","11052","54095","34402","46401","139656","122479","462732","180069","14064","13972","11542","12307","14228","31453","45923","76081","209351","43031","24617","53575","210148","98625","11085","6069","3965","6600","22439","42899","13875","5012","9785","10279","3728","60417","4605","10979","10767","10573","4616","7222","12925"
"2016年","2382822","28869","4568","6275","19314","3695","6378","12068","58182","36654","50220","152486","133071","500874","191741","14731","15052","12537","12607","14920","32483","48465","79836","224424","44913","25838","55111","217656","101562","11421","6233","4156","7120","24146","46047","14743","5476","10723","11020","3997","64998","5203","11735","11662","11149","5100","7954","14285"
"2017年","2561848","32408","5121","6627","20405","3793","6723","12977","63491","39896","55137","167245","146318","537502","204487","15859","16948","13877","13842","15636","34142","51029","85998","242978","49178","27375","57639","228474","105613","11921","6407","4385","8041","25944","49068","15566","5639","11636","11745","4332","72039","5755","10218","13582","12023","5783","9101","15847"
"2018年","2731093","36899","5786","7187","21614","3975","7367","14191","66321","41648","58220","180762","156058","567789","218946","17285","18556","15455","15114","16073","36526","55205","92459","260952","52087","30155","61022","239113","110005","12681","6676","4654","9274","28158","52134","16591","6073","12597","12038","4580","77044","6452","10369","15576","12951","6621","10547","18025"
"2019年","2933137","42485","6386","8170","23986","4354","8058","15559","71125","43732","61689","196043","167512","593458","235233","18861","19850","16881","15823","17179","38446","60206","100148","281153","56590","33929","64972","255894","115681","13951","7169","5042","9342","31569","56898","17892","6592","14266","13540","4967","83468","7367","10995","17942","14081","7850","12215","21220"
"2020年","2887116","38725","6165","7782","22890","4220","7826","15043","72287","43647","62749","198235","169833","560180","232321","17756","19356","15792","16156","17125","36530","59377","99629","273784","55982","33881","61696","253814","114806","13985","7272","4949","9324","31313","55782","17279","6627","14174","13481","4832","81072","7116","9955","17751","13216","7736","12204","19839"
"2021年","2760635","36316","5693","7203","21089","4045","7472","14120","71121","42430","61945","197110","165356","531131","227511","16936","18237","14766","16014","17163","35673","56697","97338","265199","54295","33458","58370","246157","111940","13873","7132","4529","9405","29435","50605","15873","6094","13043","11900","4500","76234","6507","8982","16686","11879","7011","11833","18535"
"2022年","3075213","45491","6702","8374","24568","4589","8162","15858","81478","45918","66963","212624","182189","596148","245790","19107","20175","17161","16720","19982","39248","62710","106345","286604","58974","37350","68443","272449","123125","15590","8006","5020","9889","32042","56068","17394","7009","15078","13742","5341","89518","7919","11214","20660","15541","8309","13975","21792"
"2023年","3410992","56485","7797","10173","27009","5280","9326","18070","91694","51073","74154","234698","204091","663362","267523","21558","22460","19407","17595","21502","43075","69477","115642","310845","64420","40743","75818","301490","131756","17614","9090","5604","10350","35928","62363","19622","7949","17312","16384","6129","99695","9764","13590","25589","18108","9752","16417","25447"
"2024年","3768977","67484","8603","11366","29878","5851","10535","20022","102549","56983","83430","262382","231614","738946","292450","24283","24314","21151","19898","23691","46850","74750","124281","331733","68804","42960","83914","333564","142676","19257","10144","6068","11089","38886","67837","21581","8907","19607","18687","6848","113159","11358","15692","29385","20330","11511","18972","29384"
