raw_speaker_group,canonical_parties,speech_count,dropped
おおさか維新の会,おおさか維新の会,26,False
みんなの党,みんなの党,38,False
れいわ新選組,れいわ新選組,2,False
公明党,公明党,655,False
参政党,参政党,2,False
各派に属しない議員,各派に属しない議員,128,False
国民新党・新党日本,国民新党;新党日本,1,False
国民民主党・新緑風会,国民民主党;新緑風会,397,False
国民民主党・無所属クラブ,国民民主党;無所属クラブ,239,False
希望の会（自由・社民）,希望の会（自由;社民）,59,False
希望の党,希望の党,10,False
希望の党・無所属クラブ,希望の党;無所属クラブ,8,False
新党改革・無所属の会,新党改革;無所属の会,11,False
日本のこころ,日本のこころ,1,False
日本のこころを大切にする党,日本のこころを大切にする党,4,False
日本を元気にする会・無所属会,日本を元気にする会;無所属の会,1,False
日本保守党,日本保守党,1,False
日本共産党,日本共産党,661,False
日本維新の会,日本維新の会,432,False
日本維新の会・希望の党,日本維新の会;希望の党,62,False
日本維新の会・教育無償化を実現する会,日本維新の会;教育無償化を実現する会,145,False
日本維新の会・無所属の会,日本維新の会;無所属の会,16,False
日本維新の会・結いの党,日本維新の会;結いの党,6,False
有志の会,有志の会,13,False
未来日本,未来日本,1,False
次世代の党,次世代の党,24,False
民主・維新・無所属クラブ,民主党;日本維新の会;無所属クラブ,28,False
民主党・新緑風会,民主党;新緑風会,72,False
民主党・無所属クラブ,民主党;無所属クラブ,106,False
民主党・無所属クラブ・国民新党,民主党;無所属クラブ;国民新党,4,False
民進党・新緑風会,民進党;新緑風会,94,False
民進党・無所属クラブ,民進党;無所属クラブ,206,False
沖縄の風,沖縄の風,120,False
無所属,無所属,29,False
無所属の会,無所属の会,30,False
無所属クラブ,無所属クラブ,6,False
生活の党,生活の党,21,False
生活の党と山本太郎となかまたち,生活の党と山本太郎となかまたち,10,False
碧水会,碧水会,4,False
社会保障を立て直す国民会議,社会保障を立て直す国民会議,7,False
社会民主党・市民連合,社会民主党;市民連合,10,False
社会民主党・護憲連合,社会民主党;護憲連合,20,False
立憲・国民．新緑風会・社民,立憲;国民民主党;新緑風会;社会民主党,53,False
立憲民主・国民・社保・無所属フォーラム,立憲民主党;国民民主党;社保;無所属フォーラム,89,False
立憲民主・社民,立憲民主党;社会民主党,191,False
立憲民主・社民・無所属,立憲民主党;社会民主党;無所属,1,False
立憲民主党,立憲民主党,6,False
立憲民主党・市民クラブ,立憲民主党;市民クラブ,170,False
立憲民主党・民友会,立憲民主党;民友会,135,False
立憲民主党・民友会・希望の会,立憲民主党;民友会;希望の会,67,False
立憲民主党・無所属,立憲民主党;無所属,332,False
立憲民主党・無所属フォーラム,立憲民主党;無所属フォーラム,115,False
立憲民主党・社民・無所属,立憲民主党;社会民主党;無所属,10,False
結いの党,結いの党,9,False
維新の党,維新の党,28,False
自由民主党,自由民主党,1763,False
自由民主党・こころ,自由民主党;こころ,52,False
自由民主党・たちあがれ日本・無所属の会,自由民主党;たちあがれ日本;無所属の会,11,False
自由民主党・国民の声,自由民主党;国民の声,194,False
自由民主党・無所属の会,自由民主党;無所属の会,860,False
ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,7,False
