speaker,speaker_yomi,canonical_house,canonical_party,canonical_position,n_speeches,first_date,last_date,wikipedia_title,district_prefecture,district_block,status,source,notes
山下貴司,やましたたかし,参議院,自由民主党,法務大臣,467,2016-04-26,2019-05-23,山下貴司,岡山県,第2区,ok,wikipedia,
仁比聡平,にひそうへい,参議院,日本共産党,,206,2014-03-17,2024-06-14,仁比聡平,全国,比例区,ok,wikipedia,
小泉龍司,こいずみりゅうじ,衆議院,自由民主党・無所属の会,法務大臣,151,2023-11-07,2024-06-19,小泉龍司,埼玉県,第11区,ok,wikipedia,
安倍晋三,あべしんぞう,参議院,自由民主党,内閣総理大臣,148,2013-05-23,2020-06-11,安倍晋三,山口県,第4区,ok,wikipedia,
川合孝典,かわいたかのり,参議院,国民民主党・新緑風会,,133,2018-11-15,2024-12-19,川合孝典,全国,比例区,ok,wikipedia,
佐々木聖子,,参議院,,法務大臣官房審議官,126,2015-04-07,2018-12-06,佐々木聖子,,,no_district,,
藤野保史,ふじのやすふみ,衆議院,日本共産党,,102,2018-05-09,2021-05-12,藤野保史,全国,比例区,ok,wikipedia,
糸数慶子,いとかずけいこ,参議院,沖縄の風,,92,2016-11-08,2019-05-14,糸数慶子,沖縄県,,ok,wikipedia,
福島みずほ,ふくしまみずほ,参議院,立憲民主・社民,,91,2014-03-25,2024-06-13,福島瑞穂,全国,比例区,ok,wikipedia,
上川陽子,かみかわようこ,衆議院,自由民主党,法務大臣,88,2014-10-22,2024-05-20,上川陽子,静岡県,第1区,ok,wikipedia,
根本匠,ねもとたくみ,衆議院,自由民主党,厚生労働大臣,85,2014-04-03,2019-05-23,根本匠,福島県,第2区,ok,wikipedia,
井出庸生,いでようせい,衆議院,民進党・無所属クラブ,,84,2014-05-28,2022-03-01,井出庸生,長野3区,,ok,wikipedia,
岸田文雄,きしだふみお,参議院,自由民主党・無所属の会,内閣総理大臣,83,2013-11-13,2024-06-06,岸田文雄,,,no_district,,
櫻井充,さくらいみつる,参議院,国民民主党・新緑風会,,78,2018-05-24,2019-05-14,桜井充,宮城県,,ok,wikipedia,
逢坂誠二,おおさかせいじ,衆議院,立憲民主党・市民クラブ,,76,2016-03-09,2020-02-12,逢坂誠二,北海道,第8区,ok,wikipedia,
有田芳生,ありたよしふ,参議院,立憲民主党・民友会,,76,2013-05-09,2022-05-19,有田芳生,全国,比例区,ok,wikipedia,
石橋通宏,いしばしみちひろ,参議院,立憲民主・社民,,72,2013-05-28,2024-06-18,石橋通宏,全国,比例区,ok,wikipedia,
葉梨康弘,はなしやすひろ,衆議院,自由民主党,法務副大臣・内閣府副大臣,68,2014-10-15,2022-11-02,葉梨康弘,茨城県,第3区,ok,wikipedia,
塩崎恭久,しおざきやすひさ,参議院,自由民主党,厚生労働大臣,64,2014-10-10,2017-04-19,塩崎恭久,愛媛県,第1区,ok,wikipedia,
石井苗子,いしいみつこ,参議院,日本維新の会,,63,2017-05-15,2023-04-25,石井苗子,全国,比例区,ok,wikipedia,
門山宏哲,かどやまひろあき,参議院,自由民主党,法務大臣政務官,60,2018-11-14,2024-05-15,門山宏哲,千葉1区,,ok,wikipedia,
伊藤孝江,いとうたかえ,参議院,公明党,,59,2018-11-29,2024-06-11,伊藤孝江,兵庫県,,ok,wikipedia,
階猛,しなたけし,衆議院,国民民主党・無所属クラブ,,59,2016-04-27,2024-05-10,階猛,岩手県,第1区,ok,wikipedia,
齋藤健,さいとうけん,衆議院,自由民主党・無所属の会,法務大臣,58,2018-04-10,2024-05-23,齋藤健,千葉県,第7区,ok,wikipedia,
中川正春,なかがわまさはる,衆議院,立憲民主党・無所属,内閣府特命担当大臣（「新しい公共」・防災・少子化対策・男女共同参画）,58,2012-02-22,2023-05-31,中川正春,全国,比例区,ok,wikipedia,
本村伸子,もとむらのぶこ,衆議院,日本共産党,,54,2015-03-10,2024-05-21,本村伸子,全国,比例区,ok,wikipedia,
岩城光英,いわきみつひで,衆議院,自由民主党,法務大臣,53,2016-01-21,2016-05-13,岩城光英,福島県,,ok,wikipedia,
佐々木さやか,ささきさやか,参議院,公明党,,52,2014-06-10,2024-06-14,佐々木さやか,神奈川県,,ok,wikipedia,
山北幸泰,,衆議院,,農林水産省大臣官房審議官,52,2017-04-06,2019-01-23,山北幸泰,,,no_district,,
金田勝年,かねだかつとし,参議院,自由民主党・無所属の会,法務大臣,52,2016-10-14,2017-05-10,金田勝年,全国,比例区,ok,wikipedia,
松田功,まつだいさお,衆議院,立憲民主党・無所属フォーラム,,51,2018-11-20,2020-03-31,松田功,全国,比例区,ok,wikipedia,
